gt.a,gt.b,2.wt
500,400,250
380,290,190
340,240,160
300,220,140
280,200,120
260,190,110
240,180,100
220,170,90
210,160,80
200,150,70
190,140,60
180,130,55
170,120,50
160,110,45
150,100,40
140,90,36
130,85,32
120,80,28
110,75,24
100,70,20
95,65,18
90,60,16
85,55,14
80,50,12
75,45,10
70,40,9
65,35,8
60,30,7
55,25,6
50,20,5
45,20,5
40,20,5
35,20,5
30,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
25,20,5
