,race_code,race_url
42,vuelta-a-espana/2019/stage-1,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-1
43,vuelta-a-espana/2019/stage-2,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-2
44,vuelta-a-espana/2019/stage-3,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-3
45,vuelta-a-espana/2019/stage-4,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-4
46,vuelta-a-espana/2019/stage-5,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-5
47,vuelta-a-espana/2019/stage-6,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-6
48,vuelta-a-espana/2019/stage-7,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-7
49,vuelta-a-espana/2019/stage-8,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-8
50,vuelta-a-espana/2019/stage-9,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-9
51,vuelta-a-espana/2019/stage-10,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-10
52,vuelta-a-espana/2019/stage-11,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-11
53,vuelta-a-espana/2019/stage-12,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-12
54,vuelta-a-espana/2019/stage-13,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-13
55,vuelta-a-espana/2019/stage-14,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-14
56,vuelta-a-espana/2019/stage-15,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-15
57,vuelta-a-espana/2019/stage-16,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-16
58,vuelta-a-espana/2019/stage-17,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-17
59,vuelta-a-espana/2019/stage-18,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-18
60,vuelta-a-espana/2019/stage-19,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-19
61,vuelta-a-espana/2019/stage-20,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-20
62,vuelta-a-espana/2019/stage-21,https://www.procyclingstats.com/race/vuelta-a-espana/2019/stage-21
105,vuelta-a-espana/2020/stage-1,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-1
106,vuelta-a-espana/2020/stage-2,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-2
107,vuelta-a-espana/2020/stage-3,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-3
108,vuelta-a-espana/2020/stage-4,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-4
109,vuelta-a-espana/2020/stage-5,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-5
110,vuelta-a-espana/2020/stage-6,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-6
111,vuelta-a-espana/2020/stage-7,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-7
112,vuelta-a-espana/2020/stage-8,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-8
113,vuelta-a-espana/2020/stage-9,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-9
114,vuelta-a-espana/2020/stage-10,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-10
115,vuelta-a-espana/2020/stage-11,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-11
116,vuelta-a-espana/2020/stage-12,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-12
117,vuelta-a-espana/2020/stage-13,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-13
118,vuelta-a-espana/2020/stage-14,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-14
119,vuelta-a-espana/2020/stage-15,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-15
120,vuelta-a-espana/2020/stage-16,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-16
121,vuelta-a-espana/2020/stage-17,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-17
122,vuelta-a-espana/2020/stage-18,https://www.procyclingstats.com/race/vuelta-a-espana/2020/stage-18
168,vuelta-a-espana/2021/stage-1,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-1
169,vuelta-a-espana/2021/stage-2,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-2
170,vuelta-a-espana/2021/stage-3,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-3
171,vuelta-a-espana/2021/stage-4,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-4
172,vuelta-a-espana/2021/stage-5,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-5
173,vuelta-a-espana/2021/stage-6,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-6
174,vuelta-a-espana/2021/stage-7,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-7
175,vuelta-a-espana/2021/stage-8,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-8
176,vuelta-a-espana/2021/stage-9,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-9
177,vuelta-a-espana/2021/stage-10,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-10
178,vuelta-a-espana/2021/stage-11,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-11
179,vuelta-a-espana/2021/stage-12,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-12
180,vuelta-a-espana/2021/stage-13,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-13
181,vuelta-a-espana/2021/stage-14,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-14
182,vuelta-a-espana/2021/stage-15,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-15
183,vuelta-a-espana/2021/stage-16,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-16
184,vuelta-a-espana/2021/stage-17,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-17
185,vuelta-a-espana/2021/stage-18,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-18
186,vuelta-a-espana/2021/stage-19,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-19
187,vuelta-a-espana/2021/stage-20,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-20
188,vuelta-a-espana/2021/stage-21,https://www.procyclingstats.com/race/vuelta-a-espana/2021/stage-21
231,vuelta-a-espana/2022/stage-1,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-1
232,vuelta-a-espana/2022/stage-2,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-2
233,vuelta-a-espana/2022/stage-3,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-3
234,vuelta-a-espana/2022/stage-4,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-4
235,vuelta-a-espana/2022/stage-5,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-5
236,vuelta-a-espana/2022/stage-6,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-6
237,vuelta-a-espana/2022/stage-7,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-7
238,vuelta-a-espana/2022/stage-8,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-8
239,vuelta-a-espana/2022/stage-9,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-9
240,vuelta-a-espana/2022/stage-10,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-10
241,vuelta-a-espana/2022/stage-11,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-11
242,vuelta-a-espana/2022/stage-12,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-12
243,vuelta-a-espana/2022/stage-13,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-13
244,vuelta-a-espana/2022/stage-14,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-14
245,vuelta-a-espana/2022/stage-15,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-15
246,vuelta-a-espana/2022/stage-16,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-16
247,vuelta-a-espana/2022/stage-17,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-17
248,vuelta-a-espana/2022/stage-18,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-18
249,vuelta-a-espana/2022/stage-19,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-19
250,vuelta-a-espana/2022/stage-20,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-20
251,vuelta-a-espana/2022/stage-21,https://www.procyclingstats.com/race/vuelta-a-espana/2022/stage-21
