,team_code_2023,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat
0,uae-team-emirates-2023,1265,10,42,116,4840.0,65.56830122591944,0.007905138339920948,0.03320158102766799,0.091699604743083,3.8260869565217392
1,team-jumbo-visma-2023,1054,18,51,107,6187.0,66.79642502482622,0.017077798861480076,0.04838709677419355,0.1015180265654649,5.870018975332068
2,bahrain-victorious-2023,974,6,18,75,2994.0,73.42400881057269,0.006160164271047228,0.018480492813141684,0.07700205338809035,3.0739219712525667
3,ineos-grenadiers-2023,1056,1,8,42,2221.0,75.60422960725076,0.000946969696969697,0.007575757575757576,0.03977272727272727,2.103219696969697
4,bora-hansgrohe-2023,1312,23,73,139,6916.0,68.75698560541913,0.01753048780487805,0.055640243902439025,0.10594512195121951,5.271341463414634
5,team-dsm-2023,1212,5,25,82,3279.0,70.67485822306239,0.004125412541254125,0.020627062706270627,0.06765676567656766,2.7054455445544554
6,groupama-fdj-2023,1159,14,24,88,4173.0,72.17927170868347,0.012079378774805867,0.02070750647109577,0.07592752372735116,3.6005176876617773
7,trek-segafredo-2023,1223,6,28,111,4440.0,71.44424297370807,0.004905968928863451,0.022894521668029435,0.09076042518397383,3.6304170073589535
8,soudal-quick-step-2023,1344,50,101,193,11517.0,64.15208825847124,0.03720238095238095,0.07514880952380952,0.14360119047619047,8.569196428571429
9,intermarche-circus-wanty-2023,1276,9,34,122,5545.0,64.65709156193896,0.007053291536050157,0.02664576802507837,0.09561128526645768,4.3456112852664575
10,ef-education-easypost-2023,1056,3,7,34,1721.0,79.2730964467005,0.002840909090909091,0.006628787878787879,0.032196969696969696,1.6297348484848484
11,cofidis-2023,1231,6,18,90,3983.0,75.32360984503191,0.00487408610885459,0.01462225832656377,0.07311129163281885,3.2355808285946384
12,team-totalenergies-2023,901,3,16,65,3557.0,71.36425648021829,0.003329633740288568,0.017758046614872364,0.07214206437291898,3.9478357380688123
13,eolo-kometa-2023,153,0,0,3,72.0,91.18791946308725,0.0,0.0,0.0196078431372549,0.47058823529411764
14,team-arkea-samsic-2023,904,4,24,89,4337.0,62.38569604086845,0.004424778761061947,0.02654867256637168,0.09845132743362832,4.797566371681416
15,astana-qazaqstan-team-2023,1066,0,3,23,943.0,76.66115702479338,0.0,0.0028142589118198874,0.021575984990619138,0.8846153846153846
16,ag2r-citroen-team-2023,1171,1,8,60,2836.0,65.37235023041475,0.0008539709649871904,0.006831767719897523,0.05123825789923143,2.421861656703672
17,,0.0,,,,,,,,,
18,movistar-team-2023,1033,1,5,31,1608.0,70.9089968976215,0.000968054211035818,0.00484027105517909,0.030009680542110357,1.5566311713455954
19,israel-premier-tech-2023,1097,3,13,92,3640.0,71.68262226847034,0.0027347310847766638,0.011850501367365542,0.08386508659981769,3.3181403828623517
20,alpecin-deceuninck-2023,1025,30,63,115,7468.0,63.59275521405049,0.02926829268292683,0.06146341463414634,0.11219512195121951,7.285853658536586
21,team-jayco-alula-2023,1112,5,22,81,2870.0,76.1071779744346,0.0044964028776978415,0.019784172661870502,0.07284172661870504,2.5809352517985613
22,green-project-bardiani-csf-faizane-2023,294,0,0,12,304.0,75.53875968992249,0.0,0.0,0.04081632653061224,1.034013605442177
23,lotto-dstny-2023,1314,25,55,121,6550.0,72.53496208930076,0.01902587519025875,0.04185692541856925,0.09208523592085235,4.984779299847793
24,q365-pro-cycing-team,861,3,11,60,2392.0,74.64803049555273,0.003484320557491289,0.012775842044134728,0.06968641114982578,2.7781649245063877
25,uno-x-pro-cycling-team-2023,407,1,4,17,1068.0,67.15894039735099,0.002457002457002457,0.009828009828009828,0.04176904176904177,2.6240786240786242
26,caja-rural-seguros-rga-2023,262,0,1,16,309.0,76.0379746835443,0.0,0.003816793893129771,0.061068702290076333,1.1793893129770991
27,team-novo-nordisk-2023,137,0,0,1,30.0,80.61,0.0,0.0,0.0072992700729927005,0.21897810218978103
28,human-powered-health-2023,295,0,1,7,360.0,71.38862559241706,0.0,0.003389830508474576,0.023728813559322035,1.2203389830508475
29,burgos-bh-2023,306,0,0,3,100.0,81.70786516853933,0.0,0.0,0.00980392156862745,0.32679738562091504
30,team-flanders--baloise-2023,754,2,5,58,2593.0,55.991610738255034,0.002652519893899204,0.006631299734748011,0.07692307692307693,3.438992042440318
31,equipo-kern-pharma-2023,119,0,0,0,45.0,77.91397849462365,0.0,0.0,0.0,0.37815126050420167
32,euskaltel-euskadi-2023,185,0,1,2,173.0,80.85798816568047,0.0,0.005405405405405406,0.010810810810810811,0.9351351351351351
33,bingoal-wb-2023,691,1,2,38,2147.0,62.56983240223464,0.001447178002894356,0.002894356005788712,0.05499276410998553,3.1070911722141825
34,tudor-pro-cycling-team-2023,75,0,0,4,79.0,73.6086956521739,0.0,0.0,0.05333333333333334,1.0533333333333332
35,bolton-equities-black-spoke-2023,96,0,0,1,49.0,61.19672131147541,0.0,0.0,0.010416666666666666,0.5104166666666666
36,team-corratec-2023,14,0,0,0,0.0,83.0,0.0,0.0,0.0,0.0
