group,type_race,avg_race,avg_win,avg_pod,avg_top10,avg_pts,pct_win,pct_pod,pct_top10,avg_pts_race
all-rounder,flat,37,2,4.5,7.25,545.5,0.050287356,0.109811166,0.183908046,13.46949918
all-rounder,climb,111.25,15.5,32.75,53.75,3714.25,0.134311224,0.280061493,0.468102041,33.65372342
all-rounder,time_trial,14.75,4.75,8.5,13,859,0.298534799,0.570695971,0.878388278,58.85338828
all-rounder,gc,9.75,4.5,6,7,2050,0.390338828,0.527014652,0.638507326,188.5187729
all-rounder,one_day,29.75,6.5,10.75,15.5,2522.75,0.241161616,0.351010101,0.503607504,81.31015512
all-rounder,dnf_otl,4.25,,,,,0.028095902,,,
climber,flat,37.77922078,0.142857143,0.415584416,1.376623377,86.76623377,0.002933573,0.010992154,0.03468456,2.05864799
climber,climb,120.5584416,2.220779221,6.714285714,22.41558442,954.4415584,0.018612138,0.058302436,0.186494767,8.032484276
climber,time_trial,14.45454545,0.402597403,1.116883117,3.376623377,110.1298701,0.030883424,0.075960437,0.233678813,7.100446554
climber,gc,11.27631579,0.315789474,1.236842105,3.763157895,832.5263158,0.036013006,0.119319969,0.339021571,75.76589674
climber,one_day,29.31168831,0.753246753,2.415584416,6.883116883,655.6363636,0.023605988,0.077125918,0.208418278,20.15192256
climber,dnf_otl,5.753246753,,,,,0.038240646,,,
domestique,flat,39.66666667,0.147849462,0.572580645,2.725806452,122.2123656,0.003204903,0.012947861,0.062346571,2.722653234
domestique,climb,91.44623656,0.360215054,1.271505376,4.857526882,223.9247312,0.004773816,0.015967027,0.057216204,2.651719091
domestique,time_trial,10.18256131,0.008174387,0.073569482,0.40599455,10.04359673,0.000535228,0.005058631,0.032678596,0.736204203
domestique,gc,8.228882834,0.002724796,0.013623978,0.196185286,128.5504087,0.000340599,0.00142403,0.01999401,14.66965646
domestique,one_day,40.95430108,0.244623656,0.870967742,3.459677419,266.1048387,0.006191684,0.021266139,0.081973263,6.442679046
domestique,dnf_otl,11.1827957,,,,,0.0872644,,,
sprinter,flat,57,5.592592593,14.48148148,28.88888889,1402.481481,0.096657916,0.244363304,0.497146513,24.6404997
sprinter,climb,90.7037037,3.407407407,8.148148148,17.25925926,1122.592593,0.039364018,0.089542798,0.196622007,12.70488595
sprinter,time_trial,11.03846154,0.038461538,0.192307692,0.769230769,14.80769231,0.00295858,0.019470273,0.072202157,1.527673608
sprinter,gc,8.5,0,0,0.115384615,105.6153846,0,0,0.012043512,11.94923207
sprinter,one_day,46.51851852,3.814814815,9.148148148,18.62962963,1636.037037,0.088282267,0.207700142,0.400175496,35.65183532
sprinter,dnf_otl,9.740740741,,,,,0.06535185,,,
young or domestique of second zone,flat,11.14527845,0.004842615,0.036319613,0.266343826,12.89346247,0.000464084,0.003873226,0.023424888,0.980715332
young or domestique of second zone,climb,20.77981651,0.02293578,0.077981651,0.598623853,28.3646789,0.000759376,0.003358692,0.028498884,1.343820746
young or domestique of second zone,time_trial,3.142857143,0.004926108,0.024630542,0.128078818,1.719211823,0.001231527,0.013300493,0.048944405,0.643611698
young or domestique of second zone,gc,2.455357143,0,0.004464286,0.053571429,28.76785714,0,0.000892857,0.016592262,9.838045635
young or domestique of second zone,one_day,18.7918552,0.015837104,0.070135747,0.547511312,36.17420814,0.000895902,0.004600569,0.029782022,1.785327997
young or domestique of second zone,dnf_otl,6.02027027,,,,,0.259717458,,,
